El séptimo sello,Det sjunde inseglet,Ingmar Bergman,1957,Suecia,2016-05-12
La chica que saltaba a través del tiempo,Toki wo Kakeru Shôjo,Mamoru Hosoda,2006,Japón,2016-05-05
We need to talk about Kevin,We need to talk about Kevin,Lynne Ramsay,2011,Reino Unido,2016-04-28
La provocación,Match Point,Woody Allen,2005,Reino Unido,2016-04-21
Moonrise Kingdom,Moonrise Kingdom,Wes Anderson,2012,Estados Unidos,2016-04-14
Before the Rain,Pred Dozdot,Milcho Manchevski,1994,Macedonia,2016-04-07
Paulette,Paulette,Jérôme Enrico,2012,Francia,2016-03-31
Broken,Broken,Rufus Norris,2012,Reino Unido,2016-03-10
Enemy,Enemy,Denis Villeneuve,2013,Canadá,2016-03-03
Sin Nombre,Ying xiong,Yimou Zhang,2002,China,2015-11-20
Dos Hermanas,Hongryeon Janghwa,Kim Jee-woon,2003,Corea del Sur,2015-11-13
Following,Following,Christopher Nolan,1998,Reino Unido,2015-11-06
Death Proof,Death Proof,Quentin Tarantino,2007,Estados Unidos,2015-10-30
Magia a la luz de la luna,Magic in the Moonlight,Woody Allen,2014,Estados Unidos,2015-10-23
Paprika,Paprika,Satoshi Kon,2006,Japón,2015-10-16
El Día de la Marmota,Groundhog Day,Harold Ramis,1993,Estados Unidos,2015-10-09
Primer,Primer,Shane Carruth,2004,Estados Unidos,2015-10-02
Ciudad de Dios,Cidade de Deus,"Fernando Meirelles, Kátia Lund",2002,Brasil,2014-06-06
Los Libros de Próspero,Prospero's Books,Peter Greenaway,1991,Reino Unido,2014-05-16
El Violín Rojo,The Red Violin,François Girard,1998,Canada,2014-05-09
Abre los Ojos,Abre los Ojos,Alejandro Amenábar,1997,España,2014-04-11
Tampopo,Tampopo,Jûzô Itami,1985,Japón,2014-04-04
Persépolis,Persepolis,"Vincent Paronnaud, Marjane Satrapi",2007,Francia,2014-04-28
Whatever Works,Watever Works,Woody Allen,2009,Estados Unidos,2014-03-21
La Cena de los Idiotas,Le dîner de cons,Francis Veber,1998,Francia,2014-03-14
3 Extremes,Saam gaang yi,"Fruit Chan, Takashi Miike, Chan-wook Park",2004,Corea del Sur,2013-11-15
Blade Runner,Blade Runner,Ridley Scott,1982,Estados Unidos,2013-11-08
13 Tzameti,13 Tzameti,Géla Babluani,2005,Francia,2013-10-25
El Experimento,Das Experiment,Oliver Hirschbiegel,2001,Alemania,2013-10-18
La Ciudad de los Niños Perdidos,La cité des enfants perdus,"Marc Caro, Jean-Pierre Jeunet",1995,Francia,2013-10-04
Perros de Reserva,Reservoir Dogs,Quentin Tarantino,1992,Estados Unidos,2013-09-20
Léolo,Léolo,Jean-Claude Lauzon,1992,Canadá,2013-09-13
El Tren de la Vida,Train de vie,Radu Mihaileanu,1998,Francia,2013-09-06
Underground,Underground,Emir Kusturica,1995,Yugoslavia,2013-05-31
Dogville,Dogville,Lars Von Trier,2003,Dinamarca,2013-05-24
De Dioses y de Hombres,Of Gods and Men,Xavier Beauvois,2010,Francia,2013-05-17
Canino,Kynodontas,Yorgos Lanthimos,2009,Grecia,2013-05-03
La Naranja Mecánica,A Clockwork Orange,Stanley Kubrik,1971,Reino Unido,2013-04-26
Donnie Darko,Donnie Darko,Richard Kelly,2001,Estados Unidos,2013-04-19
La Gran Seducción,La grande séduction,Jean-François Pouliot,2003,Canadá,2013-04-12
El Viaje de Chihiro,Sen to Chihiro no kamikakushi (Spirited Away),Hayao Miyazaki,2001,Japón,2013-04-05
O Brother Where Art Thou?,"O Brother, Where Art Thou?","Joel Coen, Ethan Coen",2000,Estados Unidos,2013-03-15
3 idiotas,3 idiots,Rajkumar Hirani,2009,India,2013-03-08
Simpatía por el señor Venganza,Simpathy for Mr.Vengance,Park Chan-wook,2002,Corea del Sur,2013-03-01
Koyaanisqatsi,Koyaanisqatsi - Life out of balance,Godfrey Reggio,1982,Estados Unidos,2012-11-09
El Libro de Cabecera,The pillow book,Peter Greenaway,1996,Reino Unido,2012-10-26
Madeinusa,Madeinusa,Claudia Llosa,2006,Perú,2012-10-19
Tuvalu,Tuvalu,Veit Helmer,1999,Alemania,2012-10-12
Scott Pilgrim contra el Mundo,Scott Pilgrim vs. The World,Edgar Wright,2010,Estados Unidos,2012-10-05
Los 400 golpes,Les quatre cents coups,François Truffaut,1959,Francia,2012-09-28
Borat,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,2006,Estados Unidos,2012-09-21
Sin City,Sin City,"Robert Rodriguez, Quentin Tarantino, Frank Miller",2005,Estados Unidos,2012-09-14
Trainspotting,Trainspotting,Danny Boyle,1996,Reino Unido,2012-09-07
El Club de la Pelea,Fight Club,David Fincher,1999,Estados Unidos,2012-08-31
Un mundo maravilloso,Un mundo maravilloso,Luis Estrada,2006,México,2012-06-22
Amnesia,Memento,Christopher Nolan,2000,Estados Unidos,2012-06-15
Dia de la bestia,El día de la bestia,Álex de la Iglesia,1995,España,2012-06-08
La vida de Brian,Monty Python's Life of Brian,Terry Jones,1979,Reino Unido,2012-06-01
Pulp fiction,Pulp Fiction,Quentin Tarantino,1994,Estados Unidos,2012-05-18
Annie Hall,Annie Hall,Woody Allen,1977,Estados Unidos,2012-05-11
Oldboy,Oldeuboi,Park Chan-wook,2003,Corea del Sur,2012-05-04
"Comer, beber, amar",Yin shi nan nu,Ang Lee,1994,Taiwan,2011-05-19
"El cocinero, el ladrón, su esposa y su amante","The Cook, the Thief, his wife and her lover",Peter Greenaway,1989,Reino Unido,2011-05-12
Los carniceros verdes,De grønne slagtere,Anders Thomas Jensen,2003,Dinamarca,2011-04-28
Las diabolicas,Les diaboliques,Henri-Geroges Clouzot,1955,Francia,2011-04-14
Renacimiento,Renaissance,Christian Volckman,2006,Francia,2011-04-07
Ciudad de Dios,Cidade de Deus,"Fernando Meirelles, Kátia Lund",2002,Brasil,2011-03-31
Picaros ladrones,Small Time Crooks,Woody Allen,2000,Estados Unidos,2011-03-24
El Violin,El violín,Francisco Vargas,2006,México,2011-03-10
El Violinista,He ni zai yi qi (Together),Kaige Chen,2002,"China, Corea del Sur",2011-03-03
La Vida es un milagro,La vie est un miracle (Život je čudo),Emir Kusturica,2004,"Francia, Serbia-Montenegro",2011-02-24
Los viajes del viento,Los viajes del viento,Ciro Guerra,2009,Colombia,2011-02-17
